LONGITUDE,LATITUDE,ELEVATION
36.3179173589,32.2954989583,650.337
36.3177831128,32.2993814991,651.294
36.3177599995,32.2993703416,651.071
36.3180187301,32.3027936194,650.406
36.3180115532,32.3027702568,650.716
36.3179949531,32.3027760207,650.52
36.3179627253,32.3027785051,650.282
36.3179153379,32.3027986159,649.958
36.3179282143,32.3028322075,649.879
36.3179648804,32.3028331916,650.166
36.3179915278,32.3028215412,650.398
36.3180159581,32.3027979089,650.442
36.317994978,32.3028023769,650.37
36.3180037069,32.3028189361,650.627
36.3180222851,32.3028151655,650.99
36.3180383298,32.3028126075,651.177
36.3180197173,32.3027449645,651.232
36.3178996737,32.3027662932,651.279
36.3178732015,32.3027922699,651.199
36.3178986313,32.3028477881,651.108
36.3179199108,32.3028582585,651.251
36.3198880421,32.3003959447,652.645
36.3199020746,32.3005083066,652.785
36.31990784,32.3004710069,652.743
36.3219228854,32.3021286028,653.466
36.3221628651,32.3020463275,653.692
36.3223778609,32.301984029,653.793
36.3224185346,32.3020433608,653.736
36.3224633441,32.3020313322,653.964
36.3225311323,32.3021811429,653.92
36.3226319883,32.3021538573,653.965
36.3227167224,32.3021185001,654.111
36.3228657157,32.3020760904,654.569
36.3228884089,32.3021169163,654.551
36.3229060057,32.3021568947,654.477
36.3229214627,32.3021799943,654.568
36.3230151599,32.3020583018,654.637
36.3215541822,32.3018585991,653.502
36.3215851813,32.3018494702,653.481
36.3216217234,32.3020195663,653.379
36.3216527666,32.3020772163,653.396
36.3218913366,32.3020185061,653.463
36.3218166015,32.3018302995,653.497
36.3220823279,32.3017505016,653.68
36.3221623325,32.3018999609,653.653
36.32227588,32.3016471137,653.901
36.3224615297,32.3017996139,654.198
36.3225400902,32.3019144158,654.359
36.3224963721,32.301934045,654.123
36.3225037287,32.3019477396,654.059
36.3224053798,32.3019327226,653.892
36.3226417112,32.3020930424,654.038
36.3228981381,32.3020030188,654.766
36.3227003618,32.3017476446,654.638
36.3226342291,32.3016098659,654.633
36.3229265881,32.3016713146,655.093
36.3229177386,32.3016752612,655.056
36.322906971,32.301680379,655.209
36.3228803163,32.3016913542,655.187
36.322871455,32.301696933,654.939
36.3228679813,32.3016976671,655.001
36.3229582611,32.3019176733,654.939
36.3229640125,32.3019165133,654.884
36.3229776262,32.3019140212,655.049
36.3230048534,32.3019072969,655.091
36.3230283586,32.3019001096,654.729
36.3230657003,32.3018783186,655.032
36.3230332702,32.3017985809,655.198
36.3230022261,32.3017270813,655.326
36.3230115079,32.3016615004,655.217
36.3232459887,32.3015769093,655.243
36.3232513577,32.301650079,655.185
36.3233082014,32.301632344,655.123
36.3234460445,32.3014706488,655.139
36.3234409152,32.3015708449,655.075
36.3233968047,32.3015861588,655.081
36.323339909,32.3017025211,655.292
36.3233308329,32.3017761794,654.883
36.3232855989,32.3017199271,655.229
36.3234383763,32.3016718657,655.008
36.3234832431,32.3016558869,655.003
36.3234972147,32.3016298124,654.967
36.3236043194,32.3016980859,654.835
36.3235196549,32.3016396584,654.953
36.3235008388,32.3016015574,654.995
36.3236125573,32.3014473341,655.156
36.323623415,32.30147721,655.046
36.3238292296,32.3014335202,655.028
36.3238679397,32.3014246019,655.172
36.3238105483,32.3013891152,655.081
36.3239558055,32.3014972836,655.01
36.3239060216,32.3015123143,654.979
36.3238661034,32.3015248771,654.974
36.3239555827,32.3015776352,654.808
36.3241088264,32.3015183248,654.863
36.3240588877,32.301467209,654.959
36.3240404082,32.3014280051,655.022
36.3239412042,32.3014582887,654.998
36.3240866954,32.3012598172,655.139
36.3243876033,32.3014517784,655.003
36.3244421277,32.301376707,655.131
36.3244406288,32.301358425,655.139
36.324459739,32.3013608344,655.079
36.3244636259,32.3013721161,655.138
36.3246037788,32.3013647594,655.227
36.3245968002,32.3013101609,655.34
36.3245558451,32.301322147,655.326
36.3245225699,32.3012342208,655.329
36.324563525,32.3012222347,655.455
36.3244937375,32.301132829,655.347
36.3247001638,32.3010811254,655.554
36.3247527248,32.3012945038,655.354
36.3250250221,32.3011484394,655.745
36.3250012127,32.3011619416,655.699
36.3248985337,32.3011927979,655.592
36.3248830571,32.3011560471,655.668
36.3248198541,32.3010866277,655.664
36.3250069447,32.3010271602,655.795
36.3250161456,32.3010586918,655.846
36.3250651816,32.3010476347,655.848
36.325090224,32.3011110447,655.961
36.3251104425,32.3011068798,655.94
36.3251165881,32.3011239574,655.833
36.3250963695,32.3011281223,655.906
36.3250956927,32.3011335204,655.808
36.3251504906,32.3011739347,655.743
36.3252007426,32.3010856641,656
36.3251857038,32.301057746,656.023
36.3252472891,32.3010371007,655.962
36.3252624722,32.3010638002,656.049
36.3253697114,32.301092036,656.1
36.3253547932,32.3010238835,656.082
36.3253460308,32.3009986598,656.222
36.3252866357,32.3009246173,656.235
36.3253938016,32.3009555498,656.495
36.3253864952,32.3009390596,656.386
36.3254060362,32.300935054,656.298
36.3254141694,32.300950572,656.328
36.325406349,32.3009777282,656.177
36.3254203291,32.3010058901,656.246
36.3255358975,32.3010474508,656.208
36.3256298739,32.3009281164,656.415
36.3256434646,32.3009669036,656.286
36.3255396858,32.3009937757,656.473
36.3255251208,32.3009586489,656.432
36.3255354062,32.3008384525,656.454
36.3252167469,32.3007433218,656.286
36.3252074038,32.3007347485,656.184
36.3252034874,32.3007279755,656.463
36.3251897219,32.3007051677,656.45
36.3251913655,32.3006860012,656.213
36.3252852012,32.3006069918,656.503
36.3252878388,32.3006064815,656.426
36.3252987651,32.3006142833,656.55
