LONGITUDE,LATITUDE,VOLUME,STATUS,NAME,DISTRICT,BLOCK,NUMBER,HOUSES
36.3227389315,32.2920682064,4,Connected,D11-B06-T05,11,6,5,"D11-B6-H32,D11-B6-H33,D11-B6-H34,D11-B6-H35,D11-B6-H41"
36.3226469743,32.2916852305,4,Connected,D11-B06-T06,11,6,6,"D11-B6-H36,D11-B6-H37,D11-B6-H38,D11-B6-H39,D11-B6-H40,D11-B6-H42-1,D11-B6-H43,D11-B6-H44,D11-B6-H45"
36.3230663973,32.2919189157,4,Connected,D11-B06-T07,11,6,7,"D11-B6-H42,D11-B6-H46,D11-B6-H47,D11-B6-H48,D11-B6-H49,D11-B6-H55"
36.3231139699,32.2914303214,4,Connected,D11-B06-T08,11,6,8,"D11-B6-H50,D11-B6-H51,D11-B6-H52,D11-B6-H53,D11-B6-H54"
36.3235147124,32.291836709,4,Connected,D11-B06-T09,11,6,9,"D11-B6-H56,D11-B6-H57,D11-B6-H58-1,D11-B6-H58,D11-B6-H69,D11-B6-H70,D11-B6-H71,D11-B6-H72,D11-B6-H73"
36.3233268468,32.291264935,4,Connected,D11-B06-T10,11,6,10,"D11-B6-H59,D11-B6-H60,D11-B6-H61,D11-B6-H62,D11-B6-H63,D11-B6-H64,D11-B6-H65,D11-B6-H66,D11-B6-H67,D11-B6-H68"
36.3235635153,32.2912147605,4,Connected,D11-B06-T11,11,6,11,"D11-B6-H77,D11-B6-H78,D11-B6-H79,D11-B6-H80,D11-B6-H81,D11-B6-H85,D11-B6-H86"
36.3240061266,32.2916671444,4,Connected,D11-B06-T12,11,6,12,"D11-B6-H74,D11-B6-H75,D11-B6-H76,D11-B6-H82,D11-B6-H83,D11-B6-H84,D11-B6-H91,D11-B6-H92,D11-B6-H93,D11-B6-H94,D11-B6-H95"
36.3240551552,32.2911150386,8,Connected,D11-B06-T13,11,6,13,"D11-B6-H81,D11-B6-H85,D11-B6-H87,D11-B6-H88,D11-B6-H89,D11-B6-H96,D11-B6-H97"
36.3212944792,32.2914522211,4,Connected,D11-B08-T01,11,8,1,"D11-B8-H1,D11-B8-H2,D11-B8-H3,D11-B8-H4,D11-B8-H10,D11-B8-H11,D11-B8-H12"
36.3211970247,32.2909004007,4,Connected,D11-B08-T02,11,8,2,"D11-B8-H5,D11-B8-H6,D11-B8-H7,D11-B8-H8,D11-B8-H9,D11-B8-H10-1,D11-B8-H10,D11-B8-H14,D11-B8-H15,D11-B8-H16"
36.3217049157,32.2910315369,8,Connected,D11-B08-T03,11,8,3,"D11-B8-H18,D11-B8-H19,D11-B8-H20,D11-B8-H21,D11-B8-H22,D11-B8-H23,D11-B8-H26"
36.3213652652,32.2907562696,4,Connected,D11-B08-T04,11,8,4,"D11-B8-H17,D11-B8-H23,D11-B8-H24,D11-B8-H25"
36.3222042882,32.2912000392,4,Connected,D11-B08-T05,11,8,5,"D11-B8-H27,D11-B8-H33,D11-B8-H34,D11-B8-H35,D11-B8-H36,D11-B8-H37,D11-B8-H38,D11-B8-H43,D11-B8-H44,D11-B8-H45"
36.3220704433,32.2906532444,8,Connected,D11-B08-T06,11,8,6,"D11-B8-H28,D11-B8-H29,D11-B8-H30,D11-B8-H31,D11-B8-H32,D11-B8-H39,D11-B8-H40,D11-B8-H41,D11-B8-H42,D11-B8-H48,D11-B8-H49,D11-B8-H51"
36.3228731869,32.2908809865,4,Connected,D11-B08-T07,11,8,7,"D11-B8-H46,D11-B8-H52,D11-B8-H53,D11-B8-H54,D11-B8-H55,D11-B8-H56,D11-B8-H65"
36.3226959397,32.2905076851,4,Connected,D11-B08-T08,11,8,8,"D11-B8-H52,D11-B8-H57,D11-B8-H58,D11-B8-H59,D11-B8-H60,D11-B8-H64"
36.3234541797,32.2908014834,4,Connected,D11-B08-T09,11,8,9,"D11-B8-H66,D11-B8-H67,D11-B8-H76,D11-B8-H77,D11-B8-H78,D11-B8-H79"
36.3232514502,32.2905371968,4,Connected,D11-B08-T10,11,8,10,"D11-B8-H68,D11-B8-H69,D11-B8-H73,D11-B8-H74,D11-B8-H75,D11-B8-H82,D11-B8-H83"
36.3236284274,32.2907217974,4,Connected,D11-B08-T12,11,8,12,"D11-B8-H85,D11-B8-H86,D11-B8-H87,D11-B8-H88,D11-B8-H89,D11-B8-H90"
36.3230516971,32.290277939,4,Connected,D11-B08-T11,11,8,11,"D11-B8-H61,D11-B8-H62,D11-B8-H63,D11-B8-H70,D11-B8-H71,D11-B8-H72,D11-B8-H73"
36.3234874023,32.2902416109,4,Connected,D11-B08-T13,11,8,13,"D11-B8-H80,D11-B8-H84,D11-B8-H91,D11-B8-H92,D11-B8-H93,D11-B8-H94,D11-B8-H95"
36.3209895318,32.2905339877,4,Connected,D11-B10-T01,11,10,1,"D11-B10-H1,D11-B10-H2,D11-B10-H3,D11-B10-H11,D11-B10-H14,D11-B10-H17"
36.3212288598,32.2904787959,4,Connected,D11-B10-T02,11,10,2,"D11-B10-H12,D11-B10-H13,D11-B10-H18,D11-B10-H19,D11-B10-H20,D11-B10-H21,D11-B10-H22,D11-B10-H25,D11-B10-H26"
36.3208115591,32.2900462099,8,Connected,D11-B10-T03,11,10,3,"D11-B10-H4,D11-B10-H5,D11-B10-H6,D11-B10-H7,D11-B10-H8,D11-B10-H9,D11-B10-H10,D11-B10-H15,D11-B10-H16"
36.3213246026,32.2899075932,4,Connected,D11-B10-T04,11,10,4,"D11-B10-H23,D11-B10-H24,D11-B10-H29,D11-B10-H30,D11-B10-H31,D11-B10-H39,D11-B10-H40"
36.3217988315,32.2904333278,4,Connected,D11-B10-T05,11,10,5,"D11-B10-H27,D11-B10-H28,D11-B10-H34,D11-B10-H35,D11-B10-H36,D11-B10-H42"
36.3218502913,32.2897420033,4,Connected,D11-B10-T06,11,10,6,"D11-B10-H32,D11-B10-H33,D11-B10-H37,D11-B10-H38,D11-B10-H39,D11-B10-H41,D11-B10-H45,D11-B10-H46,D11-B10-H47,D11-B10-H50"
36.3222913667,32.289932493,4,Connected,D11-B10-T07,11,10,7,"D11-B10-H43,D11-B10-H44,D11-B10-H52,D11-B10-H53,D11-B10-H57,D11-B10-H58"
36.3226100742,32.2900980801,4,Connected,D11-B10-T09,11,10,9,"D11-B10-H51,D11-B10-H52,D11-B10-H59,D11-B10-H60,D11-B10-H61,D11-B10-H62,D11-B10-H69,D11-B10-H70,D11-B10-H71,D11-B10-H72"
36.3231124014,32.2897819518,8,Connected,D11-B10-T11,11,10,11,"D11-B10-H73,D11-B10-H74,D11-B10-H86,D11-B10-H87,D11-B10-H88,D11-B10-H89,D11-B10-H90,D11-B10-H101,D11-B10-H102"
36.3230047329,32.289549946,4,Connected,D11-B10-T12,11,10,12,"D11-B10-H75,D11-B10-H76,D11-B10-H84,D11-B10-H85,D11-B10-H91,D11-B10-H98,D11-B10-H99"
36.3229574408,32.2892938485,8,Connected,D11-B10-T13,11,10,13,"D11-B10-H83,D11-B10-H92,D11-B10-H93,D11-B10-H94,D11-B10-H95,D11-B10-H96,D11-B10-H97"
36.3225033286,32.2893697428,4,Connected,D11-B10-T10,11,10,10,"D11-B10-H54,D11-B10-H55,D11-B10-H56,D11-B10-H63,D11-B10-H64,D11-B10-H65,D11-B10-H66,D11-B10-H67,D11-B10-H68"
36.3226633473,32.2891242422,4,Connected,D11-B10-T14,11,10,14,"D11-B10-H77,D11-B10-H78,D11-B10-H79,D11-B10-H80,D11-B10-H81,D11-B10-H82"
36.3226292227,32.2888859699,4,Connected,D11-B12-T12,11,12,12,"D11-B12-H70,D11-B12-H71,D11-B12-H72,D11-B12-H73,D11-B12-H81,D11-B12-H82,D11-B12-H83"
36.3206080389,32.2896420455,4,Connected,D11-B12-T01,11,12,1,"D11-B12-H1,D11-B12-H2,D11-B12-H3,D11-B12-H8,D11-B12-H9,D11-B12-H10,D11-B12-H18"
36.3204316188,32.289156208,4,Connected,D11-B12-T02,11,12,2,"D11-B12-H2,D11-B12-H3,D11-B12-H4,D11-B12-H5,D11-B12-H6,D11-B12-H7,D11-B12-H11,D11-B12-H17"
36.3204013628,32.2889596102,4,Connected,D11-B12-T03,11,12,3,"D11-B12-H12,D11-B12-H13,D11-B12-H14,D11-B12-H15,D11-B12-H16"
36.3210147869,32.2892409144,4,Connected,D11-B12-T04,11,12,4,"D11-B12-H19,D11-B12-H26,D11-B12-H27,D11-B12-H36"
36.3208913414,32.2889690739,4,Connected,D11-B12-T05,11,12,5,"D11-B12-H19,D11-B12-H20,D11-B12-H21,D11-B12-H22,D11-B12-H23,D11-B12-H24,D11-B12-H26,D11-B12-H28,D11-B12-H29,D11-B12-H30,D11-B12-H31"
