longitude,latitude,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity,house_count,house_ids
36.322816,32.301217,D03-B05-T07,D3-B5-T7,3,5,7,2,120,,,,,,,,1,D03-B05-H049
36.322945,32.301015,D03-B05-T08,D3-B5-T8,3,5,8,8,120,,,,,,,,6,"D03-B05-H042,D03-B05-H043,D03-B05-H044,D03-B05-H045,D03-B05-H046,D03-B05-H047"
36.323357,32.301065,D03-B05-T09,D3-B5-T9,3,5,9,4,160,,,,,,,,3,"D03-B05-H039,D03-B05-H040,D03-B05-H041"
36.323481,32.301128,D03-B05-T10,D3-B5-T10,3,5,10,4,120,,,,,,,,4,"D03-B05-H035,D03-B05-H036,D03-B05-H037,D03-B05-H038"
36.323767,32.301019,D03-B05-T11,D3-B5-T11,3,5,11,8,160,,,,,,,,5,"D03-B05-H030,D03-B05-H031,D03-B05-H032,D03-B05-H033,D03-B05-H034"
36.323898,32.301027,D03-B05-T12,D3-B5-T12,3,5,12,4,120,,,,,,,,4,"D03-B05-H026,D03-B05-H027,D03-B05-H028,D03-B05-H029"
36.324201,32.300952,D03-B05-T13,D3-B5-T13,3,5,13,4,160,,,,,,,,6,"D03-B05-H018,D03-B05-H021,D03-B05-H022,D03-B05-H023,D03-B05-H024,D03-B05-H025"
36.324265,32.300676,D03-B05-T14,D3-B5-T14,3,5,14,4,120,,OST-03-10,OST-3-10,OST,3,10,,3,"D03-B05-H019,D03-B05-H020,D03-B05-H023"
36.324509,32.300595,D03-B05-T15,D3-B5-T15,3,5,15,4,120,,OST-03-10,OST-3-10,OST,3,10,,3,"D03-B05-H010,D03-B05-H015,D03-B05-H016"
36.324672,32.300822,D03-B05-T16,D3-B5-T16,3,5,16,4,160,,,,,,,,2,"D03-B05-H013,D03-B05-H017"
36.324849,32.300777,D03-B05-T17,D3-B5-T17,3,5,17,4,160,,,,,,,,4,"D03-B05-H009,D03-B05-H011,D03-B05-H012,D03-B05-H014"
36.325186,32.300656,D03-B05-T18,D3-B5-T18,3,5,18,4,120,,,,,,,,3,"D03-B05-H005,D03-B05-H007,D03-B05-H008"
36.325247,32.300446,D03-B05-T19,D3-B5-T19,3,5,19,4,120,,OST-03-10,OST-3-10,OST,3,10,,5,"D03-B05-H001,D03-B05-H002,D03-B05-H003,D03-B05-H004,D03-B05-H006"
36.325532,32.300139,D03-B06-T01,D3-B6-T1,3,6,1,4,120,,NST-03-16,NST-3-16,NST,3,16,25,2,"D03-B06-H003,D03-B06-H004"
36.325703,32.300281,D03-B06-T02,D3-B6-T2,3,6,2,4,120,,NST-03-16,NST-3-16,NST,3,16,25,2,"D03-B06-H001,D03-B06-H002"
36.325732,32.300032,D03-B06-T03,D3-B6-T3,3,6,3,2,120,,NST-03-16,NST-3-16,NST,3,16,25,1,D03-B06-H005
36.325907,32.300094,D03-B06-T04,D3-B6-T4,3,6,4,4,160,,NST-03-16,NST-3-16,NST,3,16,25,4,"D03-B06-H006,D03-B06-H007,D03-B06-H008,D03-B06-H013"
36.326078,32.300351,D03-B06-T05,D3-B6-T5,3,6,5,4,120,,NST-03-16,NST-3-16,NST,3,16,25,3,"D03-B06-H009,D03-B06-H010,D03-B06-H011"
36.326304,32.300204,D03-B06-T06,D3-B6-T6,3,6,6,4,120,,NST-03-16,NST-3-16,NST,3,16,25,6,"D03-B06-H016,D03-B06-H017,D03-B06-H019,D03-B06-H020,D03-B06-H022,D03-B06-H024"
36.326420,32.300284,D03-B06-T07,D3-B6-T7,3,6,7,4,120,,NST-03-16,NST-3-16,NST,3,16,25,3,"D03-B04-H034,D03-B06-H018,D03-B06-H025"
36.326867,32.299881,D03-B06-T08,D3-B6-T8,3,6,8,4,120,,OST-03-17,OST-3-17,OST,3,17,,3,"D03-B06-H029,D03-B06-H030,D03-B06-H035"
36.326962,32.300204,D03-B06-T09,D3-B6-T9,3,6,9,4,120,,NST-03-16,NST-3-16,NST,3,16,25,3,"D03-B06-H026,D03-B06-H027,D03-B06-H028"
36.327142,32.299722,D03-B06-T10,D3-B6-T10,3,6,10,4,120,,OST-03-17,OST-3-17,OST,3,17,,6,"D03-B06-H032,D03-B06-H033,D03-B06-H034,D03-B06-H036,D03-B06-H038,D03-B06-H040"
