house_id,house_id_short,house_district,house_block,house_number,house_sub_unit,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity
D01-B03-H081,D1-B3-H81,1,3,81,,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,
D01-B03-H082,D1-B3-H82,1,3,82,,D01-B03-T01,D1-B3-T1,1,3,1,8,160,,,,,,,
D01-B03-H083,D1-B3-H83,1,3,83,,D01-B03-T01,D1-B3-T1,1,3,1,8,160,,,,,,,
D01-B03-H084,D1-B3-H84,1,3,84,,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,
D01-B03-H085,D1-B3-H85,1,3,85,,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,
D01-B03-H086,D1-B3-H86,1,3,86,,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,
D01-B03-H087,D1-B3-H87,1,3,87,,D01-B04-T02,D1-B4-T2,1,4,2,8,160,,,,,,,
D01-B03-H088,D1-B3-H88,1,3,88,,D01-B03-T01,D1-B3-T1,1,3,1,8,160,,,,,,,
D01-B03-H089,D1-B3-H89,1,3,89,,D01-B03-T01,D1-B3-T1,1,3,1,8,160,,,,,,,
D01-B03-H090,D1-B3-H90,1,3,90,,D01-B03-T01,D1-B3-T1,1,3,1,8,160,,,,,,,
D01-B03-H091,D1-B3-H91,1,3,91,,D01-B04-T01,D1-B4-T1,1,4,1,4,160,,,,,,,
D01-B03-H092,D1-B3-H92,1,3,92,,D01-B04-T01,D1-B4-T1,1,4,1,4,160,,,,,,,
D01-B03-H093,D1-B3-H93,1,3,93,,D01-B04-T01,D1-B4-T1,1,4,1,4,160,,,,,,,
D01-B03-H094,D1-B3-H94,1,3,94,,D01-B04-T01,D1-B4-T1,1,4,1,4,160,,,,,,,
D01-B03-H095,D1-B3-H95,1,3,95,,D01-B04-T01,D1-B4-T1,1,4,1,4,160,,,,,,,
D01-B03-H096,D1-B3-H96,1,3,96,,D01-B04-T02,D1-B4-T2,1,4,2,8,160,,,,,,,
D01-B03-H097,D1-B3-H97,1,3,97,,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,
D01-B03-H097,D1-B3-H97,1,3,97,,D01-B04-T02,D1-B4-T2,1,4,2,8,160,,,,,,,
D01-B03-H100,D1-B3-H100,1,3,100,,D01-B03-T04,D1-B3-T4,1,3,4,4,160,,,,,,,
D01-B03-H101,D1-B3-H101,1,3,101,,D01-B03-T04,D1-B3-T4,1,3,4,4,160,,,,,,,
D01-B03-H102,D1-B3-H102,1,3,102,,D01-B03-T04,D1-B3-T4,1,3,4,4,160,,,,,,,
D01-B03-H103,D1-B3-H103,1,3,103,,D01-B03-T04,D1-B3-T4,1,3,4,4,160,,,,,,,
D01-B03-H104,D1-B3-H104,1,3,104,,D01-B03-T05,D1-B3-T5,1,3,5,4,160,,,,,,,
D01-B03-H105,D1-B3-H105,1,3,105,,D01-B03-T05,D1-B3-T5,1,3,5,4,160,,,,,,,
D01-B03-H106,D1-B3-H106,1,3,106,,D01-B03-T05,D1-B3-T5,1,3,5,4,160,,,,,,,
D01-B03-H107,D1-B3-H107,1,3,107,,D01-B03-T06,D1-B3-T6,1,3,6,4,160,,,,,,,
D01-B03-H108,D1-B3-H108,1,3,108,,D01-B03-T06,D1-B3-T6,1,3,6,4,160,,,,,,,
D01-B03-H108,D1-B3-H108,1,3,108,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H109,D1-B3-H109,1,3,109,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H110,D1-B3-H110,1,3,110,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H111,D1-B3-H111,1,3,111,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H112,D1-B3-H112,1,3,112,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
