X,Y,ORIGINAL,NGO,DISTRICT,BLOCK,OLDBIN,NEWBINLTR,NEWBINTTB,IDLTR,IDTTB,GPSLAT,GPSLON,GPSALT,GPSACC,HASID,CONDITION,XCOORD,YCOORD
36.3172030699892,32.3036321899858,490,ACTED,1,0,0,7,7,D1-B0-B7,D1-B0-B7,32.30363219000,36.31720307000,686,4,no,,247061,3576436
36.3179345099892,32.3037819099859,491,ACTED,1,0,0,8,6,D1-B0-B8,D1-B0-B6,32.30378191000,36.31793451000,692,4,no,,247120,3576476
36.3311466599896,32.2841644499863,492,ACTED,9,16,0,1,3,D9-B16-B1,D9-B16-B3,32.28416445000,36.33114666000,690,4,no,,249050,3574876
36.3317728299896,32.2841090699863,493,ACTED,9,16,0,2,1,D9-B16-B2,D9-B16-B1,32.28410907000,36.33177283000,676,4,no,,249107,3574891
36.3327763199896,32.2837306899863,494,ACTED,9,16,0,3,2,D9-B16-B3,D9-B16-B2,32.28373069000,36.33277632000,687,4,no,,249210,3574885
36.3334651599896,32.2842990499863,495,ACTED,9,14,0,5,4,D9-B14-B5,D9-B14-B4,32.28429905000,36.33346516000,672,4,no,,249249,3574967
36.3328011699896,32.2845066699863,496,ACTED,9,14,0,4,5,D9-B14-B4,D9-B14-B5,32.28450667000,36.33280117000,679,4,no,,249182,3574966
36.3322415699896,32.2846957099863,497,ACTED,9,14,0,3,3,D9-B14-B3,D9-B14-B3,32.28469571000,36.33224157000,677,4,no,,249126,3574967
36.3318403299896,32.2848883499863,498,ACTED,9,14,0,2,2,D9-B14-B2,D9-B14-B2,32.28488835000,36.33184033000,680,4,no,,249083,3574974
36.3314113899896,32.2850835699863,499,ACTED,9,14,0,1,1,D9-B14-B1,D9-B14-B1,32.28508357000,36.33141139000,698,4,no,,249037,3574980
36.3319877799896,32.2858621999863,500,ACTED,9,12,0,1,3,D9-B12-B1,D9-B12-B3,32.28586220000,36.33198778000,686,4,no,,249058,3575080
36.3323728499896,32.2857820799863,501,ACTED,9,12,0,2,2,D9-B12-B2,D9-B12-B2,32.28578208000,36.33237285000,688,4,no,,249095,3575084
36.3338127499896,32.2855718599864,502,ACTED,9,10,0,4,2,D9-B10-B4,D9-B10-B2,32.28557186000,36.33381275000,688,4,no,,249230,3575110
36.3330875299896,32.2857114099863,503,ACTED,9,10,0,3,4,D9-B10-B3,D9-B10-B4,32.28571141000,36.33308753000,681,4,no,,249161,3575101
36.3326731699896,32.2859185999863,504,ACTED,9,10,0,2,3,D9-B10-B2,D9-B10-B3,32.28591860000,36.33267317000,692,4,no,,249116,3575109
